Rank,Status,Study Results,Conditions,Interventions,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Start Date,Completion Date,Locations
1149,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,201-300 persons,Others Only,Interventional,2020,2021,United States of America
1150,Recruiting,No Results Available,Cancer & Covid-19,,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2021,2021,France
1151,Recruiting,No Results Available,Others,,All,"Children, Adults & Older Adults",,301-400 persons,NIH Only,Observational,2021,2024,United States of America
1152,Recruiting,No Results Available,Covid-19 Only,Biological,All,"Children, Adults & Older Adults",Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Brazil
1153,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2021,2021,France
1154,Recruiting,No Results Available,Covid-19 Only,,All,Children & Adults,,101-200 persons,Others Only,Observational,2020,2020,Egypt
1155,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2020,Sweden
1156,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 4,1-100 persons,Others Only,Interventional,2020,2020,Iran
1157,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2023,Norway
1158,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Phase 1,1-100 persons,Others & Industry,Interventional,2020,2021,United States of America
1159,Completed,No Results Available,Cancer & Covid-19,Diagnostic Test,All,Adults & Older Adults,,701-800 persons,Others Only,Observational,2019,2020,Italy
1160,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2022,United States of America
1161,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,301-400 persons,Others Only,Interventional,2021,2021,Others
1162,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,France
1163,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Others,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,France
1164,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 4,1-100 persons,Others Only,Interventional,2020,2020,Iran
1165,Completed,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2020,France
1166,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2021,2021,Others
1167,Not yet recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2021,2021,Others
1168,Recruiting,No Results Available,Covid-19 Only,,All,Older Adults Only,,201-300 persons,Others Only,Observational,2020,2021,France
1169,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,United States of America
1170,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2022,United Kingdom
1171,Completed,No Results Available,Covid-19 Only,Others,All,"Children, Adults & Older Adults",,201-300 persons,Others Only,Observational,2020,2020,Egypt
1172,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,301-400 persons,Others Only,Observational,2020,2022,Norway
1173,Not yet recruiting,No Results Available,ARDS & Covid-19,Biological,All,Adults & Older Adults,Phase 1,1-100 persons,Others Only,Interventional,2021,2024,United States of America
1174,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 1 & Phase 2,101-200 persons,Others Only,Interventional,2020,2021,Pakistan
1175,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 3,1001-5k persons,Others & Industry,Interventional,2020,2020,Spain
1176,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,601-700 persons,Others Only,Observational,2020,2021,Italy
1177,Withdrawn,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 3,0 persons,Others Only,Interventional,2020,2020,Others
1178,Not yet recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults Only,Phase 3,1-100 persons,Others Only,Interventional,2020,2020,Pakistan
1179,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2020,Hungary
1180,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 2,901-1k persons,Others Only,Interventional,2020,2021,China
1181,Completed,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,Not Applicable,401-500 persons,Others Only,Interventional,2020,2020,United States of America
1182,"Active, not recruiting",No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,,10001-50k persons,Others Only,Observational,2020,2022,Sweden
1183,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2021,2021,Turkey
1184,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,,All,Adults & Older Adults,,401-500 persons,Others Only,Observational,2020,2020,United States of America
1185,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2020,2021,Spain
1186,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,801-900 persons,Others Only,Observational,2020,2021,China
1187,Recruiting,No Results Available,Others,Diagnostic Test,All,Adults & Older Adults,Not Applicable,801-900 persons,Others Only,Interventional,2020,2021,Canada
1188,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,601-700 persons,Others Only,Observational,2020,2020,France
1189,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Industry Only,Interventional,2021,2022,China
1190,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1001-5k persons,Others Only,Observational,2020,2021,France
1191,Completed,No Results Available,Pneumonia & Covid-19,,,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2020,Turkey
1192,Terminated,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2020,2020,France
1193,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,All,Adults & Older Adults,Not Applicable,101-200 persons,Others Only,Interventional,2020,2021,United Kingdom
1194,Terminated,No Results Available,Pneumonia & Covid-19,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2020,Italy
1195,Recruiting,No Results Available,Covid-19 Only,Genetic,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,France
1196,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2021,2021,Egypt
1197,Completed,No Results Available,Thrombosis & Covid-19,Diagnostic Test,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2021,France
1198,"Active, not recruiting",No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Canada
1199,Completed,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2021,Austria
1200,Recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,"Children, Adults & Older Adults",,1-100 persons,Others Only,Observational,2020,2022,United States of America
1201,Recruiting,No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2021,2023,France
1202,Recruiting,No Results Available,Covid-19 Only,Biological,All,Children & Adults,Phase 1,1-100 persons,Others Only,Interventional,2020,2022,United States of America
1203,Recruiting,No Results Available,Others,Dietary Supplement,All,"Children, Adults & Older Adults",Not Applicable,1001-5k persons,Others Only,Interventional,2020,2022,United States of America
1204,Recruiting,No Results Available,Covid-19 Only,,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2023,United States of America
1205,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Dietary Supplement,All,"Children, Adults & Older Adults",Phase 1,1001-5k persons,Others Only,Interventional,2020,2021,Others
1206,Not yet recruiting,No Results Available,Covid-19 Only,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,India
1207,"Active, not recruiting",No Results Available,Pneumonia & Covid-19,,All,Adults & Older Adults,,301-400 persons,Others Only,Observational,2020,2020,China
1208,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2022,France
1209,Recruiting,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,1-100 persons,Others Only,Interventional,2020,2021,China
1210,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 1,1-100 persons,Others Only,Interventional,2020,2021,Others
1211,"Active, not recruiting",No Results Available,Pneumonia & Covid-19,Diagnostic Test,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2022,France
1212,Withdrawn,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,0 persons,Industry Only,Interventional,2020,2020,Italy
1213,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,India
1214,Completed,No Results Available,AKI & Covid-19,Others,All,Adults & Older Adults,,701-800 persons,Others Only,Observational,2020,2020,United Kingdom
1215,Not yet recruiting,No Results Available,Covid-19 Only,Drug,All,Older Adults Only,Phase 3,1001-5k persons,Others Only,Interventional,2021,2022,Others
1216,Withdrawn,No Results Available,Covid-19 Only,Drug,Female,Adults & Older Adults,Phase 3,0 persons,Others Only,Interventional,2020,2021,Others
1217,Completed,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2020,France
1218,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,201-300 persons,Others Only,Observational,2020,2022,Portugal
1219,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2021,2023,United States of America
1220,Recruiting,No Results Available,Others,Drug,All,Adults & Older Adults,Phase 2,1-100 persons,Others Only,Interventional,2021,2021,Spain
1221,Completed,No Results Available,Covid-19 Only,Behavioral,All,Adults & Older Adults,Not Applicable,5001-10k persons,Others Only,Interventional,2020,2020,France
1222,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Dietary Supplement,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2021,Others
1223,Recruiting,No Results Available,Cancer & Covid-19,Drug,All,Adults & Older Adults,Phase 2,101-200 persons,Others Only,Interventional,2020,2021,United States of America
1224,"Active, not recruiting",No Results Available,Covid-19 Only,,All,"Children, Adults & Older Adults",,1001-5k persons,Others Only,Observational,2020,2021,France
1225,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Diagnostic Test,Female,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,United States of America
1226,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 2,1001-5k persons,Others Only,Interventional,2021,2021,Germany
1227,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2 & Phase 3,501-600 persons,Industry & Others,Interventional,2020,2021,Others
1228,Recruiting,No Results Available,ARDS & Covid-19,Diagnostic Test,All,Adults & Older Adults,,1-100 persons,Others Only,Observational,2020,2021,Russia
1229,Recruiting,No Results Available,Covid-19 Only,Dietary Supplement,All,Adults & Older Adults,Phase 3,1001-5k persons,Others Only,Interventional,2021,2021,Canada
1230,Recruiting,No Results Available,Anxiety,Diagnostic Test,All,Adults & Older Adults,,5001-10k persons,Others Only,Observational,2020,2022,Germany
1231,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Biological,All,Adults & Older Adults,Phase 3,501-600 persons,Others Only,Interventional,2020,2022,South Africa
1232,"Active, not recruiting",No Results Available,SARS-CoV-2 & Covid-19,,All,Children & Adults,,401-500 persons,Others Only,Observational,2020,2024,United States of America
1233,Recruiting,No Results Available,SARS-CoV-2 & Covid-19,Drug,All,Adults & Older Adults,Phase 2,1001-5k persons,Others Only,Interventional,2020,2021,South Africa
1234,Recruiting,No Results Available,Covid-19 Only,Drug,All,Adults Only,Phase 2 & Phase 3,101-200 persons,Industry Only,Interventional,2020,2020,Argentina
1235,Recruiting,No Results Available,Covid-19 Only,Device,All,Adults & Older Adults,Not Applicable,201-300 persons,Industry & Others,Interventional,2021,2021,Austria
1236,Recruiting,No Results Available,Covid-19 Only,Others,All,Adults & Older Adults,,101-200 persons,Others Only,Observational,2020,2023,Norway
1237,Completed,No Results Available,Anxiety,Behavioral,All,Adults & Older Adults,Not Applicable,1-100 persons,Others Only,Interventional,2020,2020,United States of America
1238,Not yet recruiting,No Results Available,SARS-CoV-2 & Covid-19,Device,All,Adults & Older Adults,,901-1k persons,Others Only,Observational,2020,2021,Italy
1239,"Active, not recruiting",No Results Available,Covid-19 Only,,All,Adults Only,,1-100 persons,Others Only,Observational,2020,2021,Italy
1240,Withdrawn,No Results Available,Covid-19 Only,Biological,All,Adults & Older Adults,Phase 1 & Phase 2,0 persons,Industry Only,Interventional,2020,2021,Others
